序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的年级	2、在高二年级时，学习的ap课程门数（在培训机构学习的也算）	3、在本学年，学习的ap课程门数（在培训机构学习的也算）	4、在您学习的AP课程中，您的5分科目数量占比？	5、在您学习的AP课程中，您的4分科目数量占比？	6、截止目前，您的全科GPA为_______（答案将仅用作数据分析）	7、本学年，你ap科目的平均GPA在以下的哪个区间？	8、在本学期，你的期中数学卷面成绩为	9、标题你认为GPA偏低的原因是（可多选）	10、你认为GPA偏高的原因是（可多选）	11、学校所有科目的作业量大概需要你几个小时完成？	"12、平均来讲, 您过去一年, 作业的完成量占作业总量的比例是?"	"13、平均来讲, 您过去一年, 您AP科目作业的完成量占总量的比例百分数是?"	14、你平时作业的正确率如何？	15、你数学学科的平时作业的正确率如何？	16、平均来讲，您过去一年，每周与同学讨论完成作业的次数大约为？	"17、您认为小组讨论对完成作业有帮助大吗？
"	18、您对作业的看法是	19、您会将作业平均到每天完成，还是在截止日期前一天完成？	20、如果作业太多，您会	21、你认为现在的工作量	22、对于您是否可以完成作业，您认为：—我可以在作业截止前完成作业	22、我可以以高质量（正确率>85%或分数>A）完成作业	23、有关作业质量，您认为：—我能保质保量的完成作业	23、我有过不经思考“复制”别人的作业	24、有关AP课程布置的作业，您认为：—我能保质保量的完成AP作业	24、大部分情况下，我能独立完成AP作业	24、我能够每天及时地完成老师布置的AP作业	24、我会因为AP老师作业布置的数量大于心理预期从而糊弄作业	24、在做作业实在没有思路时，我会不经思考地抄写其他同学的答案	24、AP作业的质量可以直接体现出未来AP成绩好坏	24、AP成绩越好的人，平时作业完成率越高	24、不经思考地抄作业这一行为影响了我的学习成绩	24、我认为AP作业对AP成绩没有直接或太大的影响，我通过其他学习方式也获得了好成绩	24、做作业是提升学生对知识领悟最有效的方式	24、完成AP作业使我将知识点掌握得更加牢固	总分
15	2022/5/21 15:34:57	270秒	微信	N/A	123.112.163.104(北京-北京)	高三年级	3-4门	3-4门	0%-20%	80%-100%	3.85	3.4-3.8	65-75分	(跳过)	作业量适中（少）┋选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	1-2小时	40-60％	20-40％	60%~80%	90%-100%	小于5次	有一点帮助	有一点用	在截止日期前一天完成	不写了&都蒙上	较多	不同意	同意	不同意	不同意	非常不同意	一般	不同意	同意	非常不同意	不同意	同意	一般	非常同意	不同意	一般	40
16	2022/5/21 16:25:13	357秒	微信	N/A	118.197.198.22(广东-广州)	高三年级	3-4门	3-4门	20%-40%	20%-40%	3.86	3.8-4.0	90-100分	(跳过)	对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	1-2小时	80-100％	80-100％	80%~100%	80%-90%	我独立完成作业	有帮助	非常重要	在截止日期前一天完成	硬着头皮认真做	较少	同意	同意	一般	非常不同意	一般	同意	一般	同意	非常不同意	同意	同意	非常同意	一般	不同意	同意	55
17	2022/5/21 16:36:11	441秒	微信	N/A	114.242.250.196(北京-北京)	高三年级	3-4门	3-4门	0%-20%	80%-100%	3.78	3.4-3.8	65-75分	(跳过)	选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	3小时以上	80-100％	80-100％	30%～50%	80%-90%	小于5次	有帮助	有一点用	在截止日期前一天完成	不写了&都蒙上	正常	同意	一般	一般	非常不同意	同意	一般	一般	同意	不同意	同意	同意	同意	同意	不同意	同意	51
18	2022/5/21 16:46:02	998秒	链接	直接访问	115.171.41.25(北京-北京)	高三年级	3-4门	0-2门	0%-20%	0%-20%	3.74	3.4-3.8	65-75分	(跳过)	选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强┋外界因素迫使我努力学习┋其他（须注明）〖过去GPA较低，想通过后面几个学期使总GPA变高〗	3小时以上	80-100％	60- 80％	60%~80%	90%-100%	我独立完成作业	有帮助	有一些重要	在截止日期前一天完成	不写了&都蒙上	较多	一般	一般	同意	非常不同意	一般	同意	同意	同意	一般	一般	同意	一般	一般	一般	同意	51
19	2022/5/21 17:23:22	4272秒	微信	N/A	114.249.135.109(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.87	3.8-4.0	65-75分	(跳过)	对选课有兴趣，学习劲头强	2-3小时	80-100％	80-100％	60%~80%	70%-80%	小于5次	有帮助	非常重要	平均分到每天完成	硬着头皮认真做	较多	一般	同意	一般	非常不同意	同意	同意	同意	一般	不同意	不同意	同意	一般	不同意	一般	同意	54
20	2022/5/21 17:26:22	127秒	微信	N/A	111.197.255.22(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.77	3.4-3.8	0-50分	(跳过)	外界因素迫使我努力学习	2-3小时	60- 80％	80-100％	60%~80%	80%-90%	小于5次	有帮助	有一些重要	在截止日期前一天完成	硬着头皮认真做	正常	同意	同意	同意	同意	同意	同意	一般	同意	同意	一般	一般	同意	不同意	同意	同意	51
21	2022/5/21 19:33:06	114秒	微信	N/A	124.64.17.124(北京-北京)	高二年级	大于4门	(跳过)	(跳过)	(跳过)	3.70	3.4-3.8	75-85分	(跳过)	作业量适中（少）┋选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	1-2小时	60- 80％	60- 80％	60%~80%	90%-100%	小于5次	有一点帮助	有一些重要	平均分到每天完成	跟同学合作	较多	同意	同意	同意	一般	同意	同意	同意	一般	一般	同意	同意	同意	同意	同意	同意	55
22	2022/5/21 20:44:28	256秒	微信	N/A	123.116.171.97(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.65	3.4-3.8	75-85分	(跳过)	外界因素迫使我努力学习	3小时以上	80-100％	80-100％	60%~80%	80%-90%	小于5次	有一点帮助	非常重要	在截止日期前一天完成	硬着头皮认真做	较多	一般	一般	同意	一般	同意	同意	同意	一般	一般	同意	同意	一般	一般	同意	非常同意	54
23	2022/5/22 16:17:57	144秒	微信	N/A	59.109.150.33(北京-北京)	高三年级	3-4门	3-4门	40%-60%	40%-60%	3.8	3.4-3.8	0-50分	(跳过)	其他（须注明）〖老师的给分政策以及科目的难易程度〗	小于1小时	60- 80％	60- 80％	60%~80%	90%-100%	5次-10次	有很大帮助	有一些重要	在截止日期前一天完成	跟同学合作	较少	同意	一般	一般	非常同意	一般	同意	同意	同意	一般	一般	一般	一般	一般	一般	一般	45
24	2022/5/22 16:54:16	180秒	微信	N/A	114.241.85.81(北京-北京)	高三年级	3-4门	0-2门	40%-60%	80%-100%	3.70	3.4-3.8	75-85分	(跳过)	外界因素迫使我努力学习	小于1小时	80-100％	80-100％	60%~80%	80%-90%	大于15次	有帮助	非常重要	在截止日期前一天完成	跟同学合作	较多	一般	一般	同意	不同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	同意	非常同意	一般	不同意	非常同意	55
26	2022/5/25 13:45:38	157秒	微信	N/A	42.198.228.144(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.87	3.4-3.8	50-65分	(跳过)	作业量适中（少）┋选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	2-3小时	80-100％	60- 80％	60%~80%	80%-90%	5次-10次	有帮助	有一些重要	在截止日期前一天完成	硬着头皮认真做	较多	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	52
27	2022/5/25 13:45:49	96秒	微信	N/A	221.216.86.193(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.79	3.4-3.8	65-75分	(跳过)	对选课有兴趣，学习劲头强	1-2小时	60- 80％	60- 80％	80%~100%	90%-100%	大于15次	有很大帮助	有一些重要	在截止日期前一天完成	跟同学合作	正常	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	52
28	2022/5/25 13:46:03	110秒	微信	N/A	222.131.247.128(北京-北京)	高三年级	3-4门	3-4门	0%-20%	0%-20%	3.7	3.4-3.8	75-85分	(跳过)	其他（须注明）〖不高〗	1-2小时	80-100％	80-100％	80%~100%	90%-100%	10次-15次	有帮助	有一些重要	在截止日期前一天完成	跟同学合作	较多	同意	同意	同意	同意	同意	同意	一般	一般	同意	同意	同意	同意	一般	同意	同意	53
29	2022/5/25 13:46:17	212秒	微信	N/A	123.123.203.14(北京-北京)	高三年级	3-4门	3-4门	0%-20%	0%-20%	3.84	3.8-4.0	75-85分	(跳过)	对选课有兴趣，学习劲头强	1-2小时	80-100％	80-100％	30%～50%	0%-60%	5次-10次	有帮助	有一些重要	平均分到每天完成	不写了&都蒙上	较少	非常同意	不同意	不同意	同意	不同意	同意	非常同意	同意	同意	一般	不同意	同意	一般	一般	同意	45
30	2022/5/25 13:46:27	60秒	微信	N/A	120.244.194.101(北京-北京)	高二年级	大于4门	(跳过)	(跳过)	(跳过)	3.85	3.8-4.0	75-85分	(跳过)	作业量适中（少）	小于1小时	0-20％	40-60％	60%~80%	60%-70%	5次-10次	有一点帮助	有一点用	平均分到每天完成	跟老师商量	正常	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	59
31	2022/5/25 13:46:34	186秒	微信	N/A	123.116.213.23(北京-北京)	高三年级	0-2门	0-2门	40%-60%	40%-60%	3.85	3.4-3.8	65-75分	(跳过)	选课门数少，每科可以分配更多精力┋外界因素迫使我努力学习	1-2小时	80-100％	80-100％	60%~80%	70%-80%	10次-15次	有很大帮助	有一点用	在截止日期前一天完成	不写了&都蒙上	较多	同意	一般	一般	非常同意	一般	一般	一般	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	48
32	2022/5/25 13:46:34	106秒	微信	N/A	120.244.224.200(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.46	3.0-3.4	0-50分	作业量太多┋无法集中精力用于ap科目学习	(跳过)	2-3小时	60- 80％	60- 80％	60%~80%	70%-80%	小于5次	有帮助	有一些重要	平均分到每天完成	跟同学合作	较多	同意	一般	同意	一般	同意	同意	非常同意	一般	一般	一般	非常同意	同意	同意	不同意	非常同意	54
33	2022/5/25 13:46:43	170秒	微信	N/A	123.112.178.47(北京-北京)	高三年级	3-4门	3-4门	80%-100%	0%-20%	3.94	3.8-4.0	85-90分	(跳过)	对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	3小时以上	80-100％	80-100％	80%~100%	90%-100%	10次-15次	有一点帮助	有一些重要	平均分到每天完成	硬着头皮认真做	较多	同意	同意	同意	同意	同意	同意	同意	同意	不同意	一般	同意	非常同意	一般	一般	同意	54
34	2022/5/25 13:46:45	171秒	链接	直接访问	120.244.142.54(北京-北京)	高二年级	大于4门	(跳过)	(跳过)	(跳过)	3.75	3.4-3.8	65-75分	(跳过)	对选课有兴趣，学习劲头强	1-2小时	60- 80％	80-100％	60%~80%	70%-80%	我独立完成作业	有一点帮助	有一些重要	在截止日期前一天完成	其它〖都干过〗	较多	非常同意	一般	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	同意	52
35	2022/5/25 13:47:28	225秒	微信	N/A	125.33.201.94(北京-北京)	高三年级	3-4门	3-4门	60%-80%	0%-20%	3.88	3.8-4.0	75-85分	(跳过)	对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	1-2小时	80-100％	80-100％	60%~80%	70%-80%	我独立完成作业	有帮助	有一些重要	在截止日期前一天完成	不写了&都蒙上	正常	一般	一般	一般	不同意	同意	同意	同意	非常不同意	不同意	同意	同意	一般	不同意	一般	同意	56
36	2022/5/25 13:47:36	158秒	链接	直接访问	120.245.70.192(北京-北京)	高三年级	0-2门	3-4门	40%-60%	40%-60%	3.8	3.8-4.0	65-75分	(跳过)	作业量适中（少）┋对选课有兴趣，学习劲头强	2-3小时	80-100％	60- 80％	60%~80%	70%-80%	5次-10次	有帮助	非常重要	在截止日期前一天完成	跟同学合作	较少	非常同意	同意	同意	同意	非常同意	非常同意	同意	一般	一般	非常不同意	不同意	同意	一般	同意	同意	53
37	2022/5/25 13:47:45	120秒	微信	N/A	119.80.238.121(北京-北京)	高三年级	大于4门	3-4门	80%-100%	0%-20%	3.90	3.8-4.0	90-100分	(跳过)	作业量适中（少）┋选课门数少，每科可以分配更多精力	3小时以上	80-100％	80-100％	80%~100%	90%-100%	小于5次	有一点帮助	有一些重要	平均分到每天完成	跟老师商量	正常	非常同意	非常同意	非常同意	非常不同意	非常同意	非常同意	非常同意	非常不同意	非常不同意	同意	不同意	非常不同意	同意	一般	非常同意	62
38	2022/5/25 13:47:58	191秒	微信	N/A	114.241.227.90(北京-北京)	高三年级	0-2门	3-4门	0%-20%	0%-20%	3.8	3.4-3.8	50-65分	(跳过)	选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	2-3小时	80-100％	80-100％	60%~80%	70%-80%	5次-10次	有帮助	有一点用	在截止日期前一天完成	跟同学合作	正常	同意	同意	同意	同意	同意	同意	非常同意	一般	不同意	同意	不同意	同意	一般	同意	同意	55
39	2022/5/25 13:48:03	167秒	链接	直接访问	112.120.249.252(香港-未知)	高三年级	0-2门	0-2门	40%-60%	80%-100%	3.74	3.4-3.8	50-65分	(跳过)	选课门数少，每科可以分配更多精力┋外界因素迫使我努力学习	小于1小时	40-60％	40-60％	60%~80%	60%-70%	5次-10次	有很大帮助	有一些重要	在截止日期前一天完成	不写了&都蒙上	正常	同意	不同意	同意	同意	一般	一般	一般	同意	同意	同意	同意	同意	不同意	一般	非常同意	49
40	2022/5/25 13:48:04	197秒	微信	N/A	222.131.31.245(北京-北京)	高三年级	0-2门	0-2门	60%-80%	40%-60%	3.87	3.8-4.0	65-75分	(跳过)	对选课有兴趣，学习劲头强	2-3小时	80-100％	80-100％	80%~100%	90%-100%	5次-10次	有帮助	有一些重要	在截止日期前一天完成	跟同学合作	正常	不同意	非常同意	同意	非常同意	同意	一般	不同意	一般	同意	一般	一般	同意	一般	同意	同意	47
41	2022/5/25 13:48:05	228秒	微信	N/A	123.115.140.136(北京-北京)	高三年级	3-4门	3-4门	0%-20%	20%-40%	3.8	3.4-3.8	50-65分	(跳过)	对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	2-3小时	80-100％	80-100％	60%~80%	70%-80%	我独立完成作业	有帮助	非常重要	在截止日期前一天完成	跟老师商量	正常	非常同意	一般	同意	一般	同意	一般	同意	不同意	一般	一般	一般	同意	一般	一般	非常同意	54
42	2022/5/25 13:48:07	198秒	微信	N/A	123.115.134.60(北京-北京)	高三年级	0-2门	大于4门	0%-20%	80%-100%	3.85	3.8-4.0	75-85分	(跳过)	外界因素迫使我努力学习	3小时以上	80-100％	80-100％	80%~100%	70%-80%	10次-15次	有帮助	有一些重要	在截止日期前一天完成	硬着头皮认真做	较多	非常同意	同意	同意	一般	同意	非常同意	同意	同意	非常不同意	不同意	不同意	不同意	非常同意	一般	非常同意	51
43	2022/5/25 13:48:24	192秒	链接	直接访问	111.194.218.74(北京-北京)	高三年级	0-2门	3-4门	0%-20%	0%-20%	3.73	3.4-3.8	0-50分	(跳过)	作业量适中（少）┋外界因素迫使我努力学习	3小时以上	80-100％	80-100％	60%~80%	70%-80%	大于15次	有很大帮助	有一些重要	在截止日期前一天完成	跟同学合作	正常	非常同意	同意	非常同意	同意	非常同意	同意	非常同意	非常同意	一般	一般	同意	一般	非常同意	一般	非常同意	53
44	2022/5/25 13:48:27	130秒	微信	N/A	221.223.197.11(北京-北京)	高三年级	3-4门	3-4门	60%-80%	0%-20%	3.89	3.8-4.0	75-85分	(跳过)	作业量适中（少）┋外界因素迫使我努力学习	2-3小时	80-100％	80-100％	60%~80%	70%-80%	5次-10次	有帮助	非常重要	平均分到每天完成	跟同学合作	正常	非常同意	同意	同意	一般	同意	同意	同意	一般	一般	同意	同意	一般	一般	同意	非常同意	57
45	2022/5/25 13:50:04	318秒	微信	N/A	120.245.98.190(北京-北京)	高三年级	0-2门	0-2门	20%-40%	60%-80%	3.79	3.4-3.8	75-85分	(跳过)	作业量适中（少）┋选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	1-2小时	60- 80％	60- 80％	60%~80%	70%-80%	5次-10次	有帮助	有一些重要	在截止日期前一天完成	跟同学合作	较多	同意	同意	同意	不同意	同意	同意	同意	一般	不同意	不同意	不同意	同意	一般	一般	同意	53
46	2022/5/25 13:50:25	286秒	链接	直接访问	221.218.165.77(北京-北京)	高三年级	0-2门	0-2门	0%-20%	80%-100%	3.88	3.8-4.0	90-100分	(跳过)	选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	2-3小时	80-100％	80-100％	80%~100%	80%-90%	10次-15次	有帮助	非常重要	平均分到每天完成	跟同学合作	正常	同意	一般	同意	同意	同意	同意	同意	同意	一般	非常同意	一般	一般	一般	同意	同意	52
47	2022/5/25 13:50:30	151秒	微信	N/A	124.127.145.217(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.66	3.4-3.8	65-75分	(跳过)	作业量适中（少）	2-3小时	60- 80％	60- 80％	60%~80%	60%-70%	大于15次	有很大帮助	有一点用	平均分到每天完成	跟同学合作	过多	同意	非常不同意	非常不同意	不同意	不同意	非常不同意	不同意	不同意	非常不同意	非常不同意	非常不同意	非常不同意	不同意	不同意	不同意	35
48	2022/5/25 13:50:34	335秒	链接	直接访问	123.112.165.77(北京-北京)	高三年级	大于4门	3-4门	0%-20%	60%-80%	3.77	3.4-3.8	75-85分	(跳过)	作业量适中（少）┋选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强	3小时以上	40-60％	60- 80％	60%~80%	70%-80%	5次-10次	有很大帮助	有一点用	在截止日期前一天完成	不写了&都蒙上	过多	同意	一般	一般	一般	同意	同意	一般	同意	同意	一般	一般	同意	一般	同意	同意	49
49	2022/5/25 13:51:14	429秒	微信	N/A	221.223.194.224(北京-北京)	高三年级	0-2门	0-2门	0%-20%	80%-100%	3.81	3.8-4.0	75-85分	(跳过)	作业量适中（少）┋外界因素迫使我努力学习	1-2小时	80-100％	20-40％	80%~100%	70%-80%	小于5次	有一点帮助	有一些重要	平均分到每天完成	其它〖有时认真做，有时没太认真〗	正常	同意	一般	同意	一般	同意	非常同意	同意	一般	不同意	一般	同意	一般	一般	一般	同意	54
50	2022/5/25 13:51:31	405秒	微信	N/A	120.244.194.250(北京-北京)	高三年级	3-4门	大于4门	60%-80%	20%-40%	3.89	3.8-4.0	90-100分	(跳过)	对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	1-2小时	60- 80％	80-100％	80%~100%	90%-100%	小于5次	有帮助	有一点用	在截止日期前一天完成	跟同学合作	较多	一般	一般	一般	同意	同意	同意	同意	一般	一般	不同意	一般	同意	一般	一般	同意	48
51	2022/5/25 13:54:20	215秒	微信	N/A	123.116.211.238(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.88	3.8-4.0	0-50分	(跳过)	作业量适中（少）┋对选课有兴趣，学习劲头强	3小时以上	80-100％	80-100％	80%~100%	70%-80%	大于15次	有帮助	有一些重要	在截止日期前一天完成	跟同学合作	较多	非常同意	非常同意	非常同意	同意	非常同意	非常同意	非常同意	一般	非常不同意	非常同意	非常同意	非常同意	不同意	同意	非常同意	68
52	2022/5/25 13:58:05	225秒	链接	直接访问	223.72.93.17(北京-北京)	高三年级	3-4门	0-2门	0%-20%	80%-100%	3.75	3.4-3.8	65-75分	(跳过)	选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强	2-3小时	80-100％	80-100％	60%~80%	70%-80%	5次-10次	有很大帮助	有一些重要	在截止日期前一天完成	跟同学合作	正常	非常同意	同意	同意	同意	同意	同意	同意	同意	同意	一般	一般	一般	一般	一般	同意	50
